token	count	levels	confidence	status	noise	wiktionary_languages	has_etymology	top_wiktionary_candidates	top_wikipedia_candidates	top_datamuse_candidates
nirrii	2	visual_part,stroke	1.58	noisy	no explicit etymology found	0	no			
rine	2	stroke	1.58	noisy	no explicit etymology found	0	no			
e	11	stroke	1.34	noisy	single-letter root: high false-positive risk | no explicit etymology found	0	no			e:n The name of the Latin-script letter E/e.
hlaolmehte	1	visual_part	1.00	noisy	no explicit etymology found	0	no			
hlaolmeth	1	visual_part	1.00	noisy	no explicit etymology found	0	no			
tlhaolte	1	visual_part	1.00	noisy	no explicit etymology found	0	no			
tlolmeht	1	visual_part	1.00	noisy	no explicit etymology found	0	no			
hetera	1	visual_part	1.00	noisy	no explicit etymology found	0	no			
hrima	1	visual_part	1.00	noisy	no explicit etymology found	0	no			
hrime	1	visual_part	1.00	noisy	no explicit etymology found	0	no			
hrine	1	visual_part	1.00	noisy	no explicit etymology found	0	no			
irine	1	visual_part	1.00	noisy	no explicit etymology found	0	no			
lhaol	1	visual_part	1.00	noisy	no explicit etymology found	0	no			
laol	1	visual_part	1.00	noisy	no explicit etymology found	0	no			
loli	1	visual_part	1.00	noisy	no explicit etymology found	0	no			
lol	1	visual_part	1.00	noisy	no explicit etymology found	0	no			
rim	1	stroke	1.00	noisy	no explicit etymology found	0	no			
tra	1	visual_part	1.00	noisy	no explicit etymology found	0	no			
t	5	stroke,visual_part	0.00	noisy	single-letter root: high false-positive risk | no explicit etymology found	0	no			
me	3	stroke	0.00	noisy	two-letter root: medium false-positive risk | no explicit etymology found	0	no			
