token	count	levels	confidence	status	noise	wiktionary_languages	has_etymology	top_wiktionary_candidates	top_wikipedia_candidates	top_datamuse_candidates
ria	2	user_segmentation	1.58	noisy	no explicit etymology found	0	no			
mirrii	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
nirrii	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
tlolme	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
atera	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
crima	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
crine	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
hetra	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
olaol	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
olola	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
teora	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
tetra	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
tluol	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
ateo	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
eteo	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
imir	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
inir	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
loli	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
mera	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
meto	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
otra	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
rine	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
teoa	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
ate	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
cri	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
eto	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
ime	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
met	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
rae	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
toa	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
tra	1	user_segmentation	1.00	noisy	no explicit etymology found	0	no			
he	1	user_segmentation	0.00	noisy	two-letter root: medium false-positive risk | no explicit etymology found	0	no			
ir	1	user_segmentation	0.00	noisy	two-letter root: medium false-positive risk | no explicit etymology found	0	no			
oa	1	user_segmentation	0.00	noisy	two-letter root: medium false-positive risk | no explicit etymology found	0	no			
oi	1	user_segmentation	0.00	noisy	two-letter root: medium false-positive risk | no explicit etymology found	0	no			
to	1	user_segmentation	0.00	noisy	two-letter root: medium false-positive risk | no explicit etymology found	0	no			
